cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
041503,2,24.0,50.0,2,0.0,2,50.0,2,0.0,2,0.0,2,2,17,68.23529411764706,29.41176470588235,17,17,1,1.7714791851195748,0.8857395925597874
041601,217,26.88317757009346,21.19815668202765,217,17.51152073732719,217,47.465437788018434,217,10.138248847926267,217,0.9216589861751152,217,217,443,68.95933014354067,19.864559819413092,443,443,69,36.19079386257505,11.507671781187458
050101,3713,27.92572869955157,70.32049555615406,3713,5.952060328575276,3713,13.439267438728791,3713,3.7974683544303796,3713,1.1042283867492593,3713,3713,7875,59.167470350579954,15.085714285714285,7875,7875,1559,16.977439621036844,7.128421322164407
050102,396,23.944881889763778,54.54545454545455,396,11.363636363636363,396,26.767676767676768,396,2.525252525252525,396,0.0,396,396,977,53.158628081457664,7.471852610030706,977,977,278,13.682537488770645,9.605417732015756
050103,258,27.877551020408163,65.50387596899225,258,8.527131782945736,258,15.891472868217054,258,5.426356589147287,258,0.7751937984496124,258,258,608,65.98963730569949,12.5,608,608,127,21.05606790173835,10.364808618297559
050104,41,21.4390243902439,63.41463414634146,41,4.878048780487805,41,17.073170731707318,41,0.0,41,0.0,41,41,120,64.15517241379311,12.5,120,120,23,13.136815123357898,7.369432874078821
050201,873,24.062426383981155,9.392898052691868,873,6.414662084765178,873,77.77777777777777,873,2.9782359679266897,873,0.3436426116838488,873,873,893,56.06410256410256,11.422172452407615,893,893,181,38.34328882642305,7.94975404075896
050202,339,25.11111111111111,16.224188790560472,339,12.979351032448378,339,57.227138643067846,339,7.374631268436578,339,0.8849557522123894,339,339,662,59.02384737678855,7.099697885196375,662,662,162,21.15972785718744,10.111728356532051
050203,884,26.367630057803467,16.402714932126695,884,10.85972850678733,884,62.33031674208145,884,6.108597285067873,884,0.5656108597285068,884,884,1778,57.78228141285466,14.623172103487065,1778,1778,366,21.206160341601496,8.779926114282972
050204,139,23.36231884057971,16.546762589928058,139,12.23021582733813,139,66.90647482014388,139,2.158273381294964,139,0.7194244604316546,139,139,217,48.595,5.0691244239631335,217,217,71,16.909975669099758,8.637469586374696
050301,2594,24.749500599280864,57.78720123361604,2594,11.526599845797996,2594,24.595219737856592,2594,2.235929067077872,2594,1.6962220508866614,2594,2594,1243,61.43148936170213,7.723250201126307,1243,1243,293,81.30641925777331,9.183801404212637
050302,667,26.414110429447852,83.80809595202399,667,3.598200899550225,667,8.695652173913043,667,1.949025487256372,667,0.14992503748125938,667,667,509,64.33811475409836,10.019646365422396,509,509,109,71.83629509962304,11.739364566505115
