cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,_den_edad_prom_fallecimiento,emigrantes_x1000,tasa_mortalidad
021202,691,23.977777777777778,51.230101302460206,691,35.31114327062229,691,3.4732272069464543,691,1.8813314037626627,691,0.723589001447178,691,691,345.0,53.81039755351682,345.0,28.168439933145816,
021203,1098,22.48938134810711,44.1712204007286,1098,47.17668488160292,1098,1.2750455373406193,1098,2.459016393442623,1098,0.18214936247723132,1098,1098,320.0,57.73529411764706,320.0,63.00929645357512,
021204,421,23.937046004842614,45.13064133016627,421,42.042755344418055,421,1.4251781472684086,421,2.6128266033254155,421,0.4750593824228028,421,421,143.0,57.81617647058823,143.0,64.78916589719914,
021301,1297,23.141627543035995,42.40555127216654,1297,36.160370084811106,1297,4.703161141094834,1297,9.329221279876638,1297,0.3084040092521203,1297,1297,454.0,54.52857142857143,454.0,41.42181911088401,
021302,596,23.066101694915254,35.57046979865772,596,45.13422818791946,596,5.87248322147651,596,5.704697986577181,596,1.0067114093959733,596,596,239.0,63.031531531531535,239.0,66.94372683365158,
021303,500,22.473577235772357,46.0,500,42.8,500,3.6,500,2.8,500,1.0,500,500,138.0,55.056,138.0,64.11900487304437,
021304,769,22.714663143989434,15.99479843953186,769,73.08192457737321,769,1.9505851755526658,769,1.1703511053315996,769,0.0,769,769,233.0,52.81132075471698,233.0,61.95118021429147,
021305,1175,23.325881341358556,37.87234042553192,1175,36.42553191489362,1175,14.46808510638298,1175,4.9361702127659575,1175,0.1702127659574468,1175,1175,425.0,52.53213367609254,425.0,51.404322337912326,
021306,440,21.77156177156177,18.863636363636363,440,67.27272727272727,440,2.9545454545454546,440,4.318181818181818,440,0.0,440,440,166.0,53.83098591549296,166.0,44.53892094341533,
021307,276,22.94756554307116,12.681159420289855,276,70.28985507246377,276,3.260869565217391,276,2.898550724637681,276,0.0,276,276,66.0,63.57377049180328,66.0,54.74018246727489,
